county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Honolulu HI,974563,3.05,0.182,0.91,0.853,0.042,82906,0.077,1,586.7
Worth GA,20247,2.55,0.199,0.816,0.709,0.184,46076,0.205,38.0
Wilcox GA,8635,2.59,0.182,0.631,0.507,0.171,36077,0.308,24.5
Whitfield GA,104628,2.84,0.144,0.831,0.769,0.221,46970,0.142,353.2
White GA,30798,2.46,0.233,0.826,0.716,0.179,46288,0.141,112.8
Twin Falls ID,86878,2.69,0.156,0.896,0.805,0.146,50778,0.136,40.2
Shoshone ID,12882,2.21,0.231,0.853,0.695,0.151,39091,0.188,4.9
Kootenai ID,165697,2.51,0.194,0.906,0.821,0.124,54457,0.103,111.3
Jerome ID,24412,2.97,0.132,0.854,0.72,0.192,49306,0.125,37.5
Canyon ID,229849,2.95,0.14,0.897,0.777,0.169,49143,0.115,321.6
Blaine ID,23021,2.64,0.203,0.922,0.855,0.183,51968,0.07,8.1
DuPage IL,922921,2.69,0.161,0.929,0.888,0.063,88711,0.066,2,799.8
DeKalb IL,104897,2.64,0.129,0.928,0.862,0.065,61086,0.131,166.6
Cook IL,5150233,2.61,0.151,0.876,0.789,0.102,62088,0.138,5,495.1
Clinton IL,37562,2.49,0.18,0.825,0.749,0.055,65010,0.082,79.7
Champaign IL,209689,2.35,0.133,0.922,0.816,0.062,51692,0.192,201.8
Boone IL,53544,2.84,0.161,0.909,0.846,0.075,66898,0.092,193.0
Lauderdale AL,92729,2.35,0.205,0.808,0.687,0.117,46265,0.14,138.8
Jefferson AL,658573,2.47,0.163,0.862,0.764,0.111,51979,0.161,592.5
Jackson AL,51626,2.49,0.205,0.783,0.671,0.133,39816,0.197,49.4
Houston AL,105882,2.63,0.181,0.801,0.704,0.127,45496,0.165,175.1
Henry AL,17205,2.52,0.234,0.81,0.722,0.139,48610,0.179,30.8
Hale AL,14651,2.60,0.197,0.656,0.549,0.114,30571,0.256,24.5
Kendall IL,128990,3.08,0.107,0.953,0.917,0.059,91764,0.042,358.2
