"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
82537,"Utah","2020-06-03",567,4,4,4,117,117,117,2.06598208182101,2.06598208182101,2.06598208182101,117.241000679554,117.241000679554,117.241000679554,"observed",-24.10197,"observed",3423.00191490942,295,,,
82538,"Utah","2020-06-04",567,0,0,0,117,117,117,2.067321931219,2.067321931219,2.067321931219,119.308322610773,119.308322610773,119.308322610773,"observed",-24.06389,"observed",3497.21497979363,316,,,
82539,"Utah","2020-06-05",567,3,3,3,120,120,120,2.068691227426,2.068691227426,2.068691227426,121.377013838199,121.377013838199,121.377013838199,"observed",-24.06476,"observed",3578.14291083762,439,,,
82540,"Utah","2020-06-06",567,1,1,1,121,121,121,2.06986975468999,2.06986975468999,2.06986975468999,123.446883592889,123.446883592889,123.446883592889,"observed",-24.06783,"observed",3665.34554405692,546.000000000004,,,
82541,"Utah","2020-06-07",567,0,0,0,121,121,121,2.070596705786,2.070596705786,2.070596705786,125.517480298675,125.517480298675,125.517480298675,"observed",-24.04762,"observed",3757.17207133028,268.000000000004,,,
82542,"Utah","2020-06-08",567,3,3,3,124,124,124,2.07065600387601,2.07065600387601,2.07065600387601,127.588136302551,127.588136302551,127.588136302551,"observed",-23.98101,"observed",3850.07749704833,255.999999999998,,,
82543,"Utah","2020-06-09",567,3,3,3,127,127,127,2.06983994274201,2.06983994274201,2.06983994274201,129.657976245293,129.657976245293,129.657976245293,"observed",-23.84786,"observed",3938.37337459826,236.999999999998,,,
82544,"Utah","2020-06-10",567,1,1,1,128,128,128,2.06810042510699,2.06810042510699,2.06810042510699,131.7260766704,131.7260766704,131.7260766704,"observed",-23.64397,"observed",4014.69392794843,305.000000000004,,,
82545,"Utah","2020-06-11",567,3,3,3,131,131,131,2.06557268150098,2.06557268150098,2.06557268150098,133.791649351901,133.791649351901,133.791649351901,"observed",-23.38425,"observed",4071.37414631096,387.999999999995,,,
82546,"Utah","2020-06-12",567,8,8,8,139,139,139,2.06242261765101,2.06242261765101,2.06242261765101,135.854071969552,135.854071969552,135.854071969552,"observed",-23.09209,"observed",4102.5892623583,325.000000000002,,,
82547,"Utah","2020-06-13",567,0,0,0,139,139,139,2.05884139442,2.05884139442,2.05884139442,137.912913363972,137.912913363972,137.912913363972,"observed",-22.79086,"observed",4106.54773532755,404,,,
82548,"Utah","2020-06-14",567,0,0,0,139,139,139,2.055057653776,2.055057653776,2.055057653776,139.967971017748,139.967971017748,139.967971017748,"observed",-22.49842,"observed",4086.79281747936,332,,,
82549,"Utah","2020-06-15",567,4,4,4,143,143,143,2.05138308477001,2.05138308477001,2.05138308477001,142.019354102518,142.019354102518,142.019354102518,"observed",-22.21137,"observed",4051.9994751981,294.999999999996,,,
82550,"Utah","2020-06-16",567,2,2,2,145,145,145,2.04820762113599,2.04820762113599,2.04820762113599,144.067561723654,144.067561723654,144.067561723654,"observed",-21.90814,"observed",4014.38949884768,329.000000000007,,,
82551,"Utah","2020-06-17",567,4,4,4,149,149,149,2.04598936735201,2.04598936735201,2.04598936735201,146.113551091006,146.113551091006,146.113551091006,"observed",-21.57757,"observed",3987.35406967725,406.999999999991,,,
82552,"Utah","2020-06-18",567,3,3,3,152,152,152,2.045302541463,2.045302541463,2.045302541463,148.158853632469,148.158853632469,148.158853632469,"observed",-21.23466,"observed",3982.95212290288,495.000000000011,,,
82553,"Utah","2020-06-19",567,3,3,3,155,155,155,2.046751766261,2.046751766261,2.046751766261,150.20560539873,150.20560539873,150.20560539873,"observed",-20.91948,"observed",4009.76702259143,586.000000000002,,,
82554,"Utah","2020-06-20",567,0,0,0,155,155,155,2.05096431600899,2.05096431600899,2.05096431600899,152.256569714739,152.256569714739,152.256569714739,"observed",-20.68338,"observed",4071.52835244139,642.999999999985,,,
82555,"Utah","2020-06-21",567,3,3,3,158,158,158,2.058665849432,2.058665849432,2.058665849432,154.315235564171,154.315235564171,154.315235564171,"observed",-20.56432,"observed",4166.8049313124,394.000000000007,,,
82556,"Utah","2020-06-22",567,0,0,0,158,158,158,2.07069267967501,2.07069267967501,2.07069267967501,156.385928243846,156.385928243846,156.385928243846,"observed",-20.55828,"observed",4289.91887116532,444.000000000004,,,
82557,"Utah","2020-06-23",567,5,5,5,163,163,163,2.08787429485301,2.08787429485301,2.08787429485301,158.473802538699,158.473802538699,158.473802538699,"observed",-20.6267,"observed",4432.82519060938,393.999999999993,,,
82558,"Utah","2020-06-24",567,0,0,0,163,163,163,2.11105119217899,2.11105119217899,2.11105119217899,160.584853730878,160.584853730878,160.584853730878,"observed",-20.73199,"observed",4587.30951535471,483.999999999996,,,
82559,"Utah","2020-06-25",567,1,1,1,164,164,164,2.14110642337499,2.14110642337499,2.14110642337499,162.725960154253,162.725960154253,162.725960154253,"observed",-20.84887,"observed",4746.68294989826,590.000000000018,,,
82560,"Utah","2020-06-26",567,2,2,2,166,166,166,2.178927786423,2.178927786423,2.178927786423,164.904887940676,164.904887940676,164.904887940676,"observed",-20.965,"observed",4906.47401985153,675.999999999993,,,
82561,"Utah","2020-06-27",567,1,1,1,167,167,167,2.225229867232,2.225229867232,2.225229867232,167.130117807908,167.130117807908,167.130117807908,"observed",-21.09061,"observed",5064.12004361854,577.999999999996,,,
82562,"Utah","2020-06-28",567,0,0,0,167,167,167,2.28073035279701,2.28073035279701,2.28073035279701,169.410848160705,169.410848160705,169.410848160705,"observed",-21.25382,"observed",5218.03465573295,472.000000000007,,,
82563,"Utah","2020-06-29",567,1,1,1,168,168,168,2.34619274180801,2.34619274180801,2.34619274180801,171.757040902513,171.757040902513,171.757040902513,"observed",-21.46631,"observed",5366.503078132,563.999999999996,,,
82564,"Utah","2020-06-30",567,4,4,4,172,172,172,2.42244863377599,2.42244863377599,2.42244863377599,174.179489536289,174.179489536289,174.179489536289,"observed",-21.71191,"observed",5506.86433774596,552.999999999996,,,
82565,"Utah","2020-07-01",567,1,1,1,173,173,173,2.510468060291,2.510468060291,2.510468060291,176.68995759658,176.68995759658,176.68995759658,"observed",-21.97876,"observed",5635.44093287713,499.000000000004,,,
82566,"Utah","2020-07-02",567,3,3,3,176,176,176,2.61135858407599,2.61135858407599,2.61135858407599,179.301316180656,179.301316180656,179.301316180656,"observed",-22.26709,"observed",5748.4921881659,554.000000000004,,,
82567,"Utah","2020-07-03",567,5,5,5,181,181,181,2.72629210453701,2.72629210453701,2.72629210453701,182.027608285193,182.027608285193,182.027608285193,"projected",-22.26709,"observed",5843.91061909006,596,,,
82568,"Utah","2020-07-04",567,0,0,0,181,181,181,2.85628862590301,2.85628862590301,2.85628862590301,184.883896911096,184.883896911096,184.883896911096,"projected",-22.26709,"observed",5922.68684720844,675.999999999989,,,
82569,"Utah","2020-07-05",567,3,3,3,184,184,184,3.002088178039,3.002088178039,3.002088178039,187.885985089135,187.885985089135,187.885985089135,"projected",-22.26709,"observed",5989.00901625402,410.000000000004,,,
82570,"Utah","2020-07-06",567,6,6,6,190,190,190,3.16423791487,3.16423791487,3.16423791487,191.050223004005,191.050223004005,191.050223004005,"projected",-22.26709,"observed",6048.60145759841,516.999999999996,,,
82571,"Utah","2020-07-07",567,4,4,4,194,194,194,3.343254192431,3.343254192431,3.343254192431,194.393477196436,194.393477196436,194.393477196436,"projected",-22.26709,,,563.999999999989,,,
82572,"Utah","2020-07-08",567,7,7,7,201,201,201,3.539607415956,3.539607415956,3.539607415956,197.933084612392,197.933084612392,197.933084612392,"projected",-22.26709,,,722.000000000011,,,
82573,"Utah","2020-07-09",567,4,4,4,205,205,205,3.750832444959,3.750832444959,3.750832444959,201.683917057351,201.683917057351,201.683917057351,"projected",-22.26709,,,600.999999999996,,,
82574,"Utah","2020-07-10",567,2,2,2,207,207,207,3.97466719684599,3.97466719684599,3.97466719684599,205.658584254197,205.658584254197,205.658584254197,"projected",-22.26709,,,867.000000000011,,,
