"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
4969,"Arizona","2020-04-16",525,8,8,8,150,150,150,9.899988756775,9.899988756775,9.899988756775,155.73182310453,155.73182310453,155.73182310453,"observed",-47.4818,"observed",1593.36933060413,273.000000000002,,,
4970,"Arizona","2020-04-17",525,19,19,19,169,169,169,10.086118336379,10.086118336379,10.086118336379,165.817941440909,165.817941440909,165.817941440909,"observed",-47.022,"observed",1604.68748460491,273.999999999998,,,
4971,"Arizona","2020-04-18",525,11,11,11,180,180,180,10.300303386126,10.300303386126,10.300303386126,176.118244827035,176.118244827035,176.118244827035,"observed",-46.64221,"observed",1618.38595023242,213.000000000002,,,
4972,"Arizona","2020-04-19",525,4,4,4,184,184,184,10.547440000314,10.547440000314,10.547440000314,186.665684827349,186.665684827349,186.665684827349,"observed",-46.34553,"observed",1634.85034185042,208.999999999998,,,
4973,"Arizona","2020-04-20",525,7,7,7,191,191,191,10.831558496856,10.831558496856,10.831558496856,197.497243324205,197.497243324205,197.497243324205,"observed",-46.1197,"observed",1655.21203471588,135,,,
4974,"Arizona","2020-04-21",525,17,17,17,208,208,208,11.156235022592,11.156235022592,11.156235022592,208.653478346797,208.653478346797,208.653478346797,"observed",-45.93971,"observed",1681.58655523363,188.000000000001,,,
4975,"Arizona","2020-04-22",525,23,23,23,231,231,231,11.525281407435,11.525281407435,11.525281407435,220.178759754232,220.178759754232,220.178759754232,"observed",-45.77353,"observed",1717.0669399554,217.000000000002,,,
4976,"Arizona","2020-04-23",525,18,18,18,249,249,249,11.942579647106,11.942579647106,11.942579647106,232.121339401338,232.121339401338,232.121339401338,"observed",-45.58822,"observed",1765.24267472658,299.000000000002,,,
4977,"Arizona","2020-04-24",525,17,17,17,266,266,266,12.410888394959,12.410888394959,12.410888394959,244.532227796297,244.532227796297,244.532227796297,"observed",-45.35794,"observed",1829.31166062721,272.999999999997,,,
4978,"Arizona","2020-04-25",525,7,7,7,273,273,273,12.92975997711,12.92975997711,12.92975997711,257.461987773407,257.461987773407,257.461987773407,"observed",-45.07073,"observed",1911.17618054083,240.999999999997,,,
4979,"Arizona","2020-04-26",525,2,2,2,275,275,275,13.496101821652,13.496101821652,13.496101821652,270.958089595059,270.958089595059,270.958089595059,"observed",-44.72856,"observed",2011.02020926607,248.000000000005,,,
